<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,5,20230327,162000,160.21,160.41,160.1601,160.27,379865,0
AAPL.US,5,20230327,162500,160.27,160.285,159.895,159.93,514106,0
AAPL.US,5,20230327,163000,159.92,159.9291,159.69,159.74,542976,0
AAPL.US,5,20230327,163500,159.74,159.914,159.62,159.88,452679,0
AAPL.US,5,20230327,164000,159.89,159.97,159.63,159.8199,464990,0
AAPL.US,5,20230327,164500,159.82,159.91,159.67,159.8201,379122,0
AAPL.US,5,20230327,165000,159.83,160.05,159.83,160.01,417569,0
AAPL.US,5,20230327,165500,160.0099,160.08,159.73,159.76,470762,0
AAPL.US,5,20230327,170000,159.7614,159.83,159.65,159.72,332878,0
AAPL.US,5,20230327,170500,159.72,159.73,159.51,159.57,400488,0
AAPL.US,5,20230327,171000,159.5693,159.77,159.41,159.755,467104,0
AAPL.US,5,20230327,171500,159.757,159.81,159.49,159.585,383166,0
AAPL.US,5,20230327,172000,159.59,159.7,159.455,159.48,271937,0
AAPL.US,5,20230327,172500,159.48,159.59,159.39,159.49,398842,0
AAPL.US,5,20230327,173000,159.4977,159.56,159.32,159.51,386030,0
AAPL.US,5,20230327,173500,159.5199,159.55,159.17,159.275,383268,0
AAPL.US,5,20230327,174000,159.2742,159.31,159.01,159.06,408131,0
AAPL.US,5,20230327,174500,159.06,159.125,158.93,159,461037,0
AAPL.US,5,20230327,175000,159,159.06,158.65,158.72,450901,0
AAPL.US,5,20230327,175500,158.7127,158.72,158.4,158.44,717567,0
AAPL.US,5,20230327,180000,158.4365,158.55,158.22,158.515,656012,0
AAPL.US,5,20230327,180500,158.52,158.54,158.25,158.33,436946,0
AAPL.US,5,20230327,181000,158.35,158.51,158.3,158.5,267185,0
AAPL.US,5,20230327,181500,158.5,158.66,158.47,158.585,374499,0
AAPL.US,5,20230327,182000,158.58,158.6673,158.52,158.6119,306091,0
AAPL.US,5,20230327,182500,158.61,158.77,158.41,158.7699,345178,0
AAPL.US,5,20230327,183000,158.7687,158.83,158.44,158.475,310616,0
AAPL.US,5,20230327,183500,158.475,158.49,158.23,158.2435,332527,0
AAPL.US,5,20230327,184000,158.24,158.26,158.04,158.25,334792,0
AAPL.US,5,20230327,184500,158.25,158.38,158.14,158.3055,392115,0
AAPL.US,5,20230327,185000,158.31,158.38,158.19,158.27,256581,0
AAPL.US,5,20230327,185500,158.26,158.3,158.1955,158.2789,160036,0
AAPL.US,5,20230327,190000,158.28,158.43,158.14,158.375,318743,0
AAPL.US,5,20230327,190500,158.37,158.47,158.23,158.284,341485,0
AAPL.US,5,20230327,191000,158.28,158.28,158,158.105,353237,0
AAPL.US,5,20230327,191500,158.11,158.11,157.87,158.08,477760,0
AAPL.US,5,20230327,192000,158.08,158.41,158.06,158.285,400279,0
AAPL.US,5,20230327,192500,158.28,158.38,158.26,158.35,201694,0
AAPL.US,5,20230327,193000,158.37,158.54,158.32,158.54,422754,0
AAPL.US,5,20230327,193500,158.54,158.5629,158.36,158.455,287115,0
AAPL.US,5,20230327,194000,158.458,158.5997,158.431,158.54,242973,0
AAPL.US,5,20230327,194500,158.54,158.565,158.39,158.48,292728,0
AAPL.US,5,20230327,195000,158.47,158.524,158.2,158.25,366611,0
AAPL.US,5,20230327,195500,158.253,158.35,158.253,158.29,204735,0
AAPL.US,5,20230327,200000,158.29,158.345,158.17,158.2268,262689,0
AAPL.US,5,20230327,200500,158.22,158.26,158.11,158.18,256244,0
AAPL.US,5,20230327,201000,158.175,158.42,158.1701,158.42,257867,0
AAPL.US,5,20230327,201500,158.42,158.6299,158.38,158.6057,288055,0
AAPL.US,5,20230327,202000,158.6,158.7104,158.57,158.64,312597,0
AAPL.US,5,20230327,202500,158.635,158.84,158.6,158.6355,316928,0
AAPL.US,5,20230327,203000,158.64,158.82,158.6334,158.729,313954,0
AAPL.US,5,20230327,203500,158.73,158.92,158.71,158.805,349007,0
AAPL.US,5,20230327,204000,158.8,158.89,158.74,158.84,321525,0
AAPL.US,5,20230327,204500,158.84,159.03,158.79,158.9172,437950,0
AAPL.US,5,20230327,205000,158.92,158.955,158.8,158.8801,323507,0
AAPL.US,5,20230327,205500,158.885,159.0634,158.885,159.06,308800,0
AAPL.US,5,20230327,210000,159.06,159.21,158.9,159.0313,533715,0
AAPL.US,5,20230327,210500,159.03,159.04,158.84,158.87,408851,0
AAPL.US,5,20230327,211000,158.87,158.9392,158.78,158.8801,305887,0
AAPL.US,5,20230327,211500,158.88,159.024,158.77,158.935,397491,0
AAPL.US,5,20230327,212000,158.92,158.96,158.82,158.9,360754,0
AAPL.US,5,20230327,212500,158.895,159,158.83,158.935,277555,0
AAPL.US,5,20230327,213000,158.93,158.97,158.65,158.8,481025,0
AAPL.US,5,20230327,213500,158.79,158.87,158.515,158.605,455058,0
AAPL.US,5,20230327,214000,158.61,158.78,158.54,158.6633,370369,0
AAPL.US,5,20230327,214500,158.665,158.71,158.565,158.595,413110,0
AAPL.US,5,20230327,215000,158.6,158.6,158.3299,158.43,871486,0
AAPL.US,5,20230327,215500,158.44,158.44,157.97,158.15,7395877,0
AAPL.US,5,20230328,153000,157.97,158.49,157.55,157.74,1386317,0
AAPL.US,5,20230328,153500,157.7493,157.85,157.22,157.2701,851178,0
AAPL.US,5,20230328,154000,157.28,157.5982,157.16,157.2,836522,0
AAPL.US,5,20230328,154500,157.19,157.5099,157.11,157.2,775285,0
AAPL.US,5,20230328,155000,157.19,157.24,156.89,157.01,910184,0
AAPL.US,5,20230328,155500,157.02,157.07,156.77,156.77,673522,0
AAPL.US,5,20230328,160000,156.765,156.99,156.55,156.91,931331,0
AAPL.US,5,20230328,160500,156.91,157.08,156.89,157.04,501541,0
AAPL.US,5,20230328,161000,157.06,157.18,156.98,157,485638,0
AAPL.US,5,20230328,161500,157,157.3101,156.905,157.19,681225,0
AAPL.US,5,20230328,162000,157.1992,157.2799,156.9,157.015,478614,0
AAPL.US,5,20230328,162500,157.0107,157.1201,156.89,157.025,422820,0
AAPL.US,5,20230328,163000,157.03,157.03,156.25,156.2696,869916,0
AAPL.US,5,20230328,163500,156.255,156.42,156.19,156.28,582681,0
AAPL.US,5,20230328,164000,156.28,156.42,156.21,156.23,411138,0
AAPL.US,5,20230328,164500,156.22,156.36,156.08,156.2137,532367,0
AAPL.US,5,20230328,165000,156.22,156.373,156.19,156.3452,408947,0
AAPL.US,5,20230328,165500,156.345,156.595,156.27,156.45,493354,0
AAPL.US,5,20230328,170000,156.44,156.85,156.405,156.75,480364,0
AAPL.US,5,20230328,170500,156.7587,156.9,156.75,156.8145,353747,0
AAPL.US,5,20230328,171000,156.81,156.8691,156.62,156.7701,415262,0
AAPL.US,5,20230328,171500,156.7776,156.89,156.625,156.6331,342558,0
AAPL.US,5,20230328,172000,156.64,156.73,156.525,156.5281,394524,0
AAPL.US,5,20230328,172500,156.53,156.7,156.39,156.585,388935,0
AAPL.US,5,20230328,173000,156.59,156.84,156.575,156.73,419504,0
AAPL.US,5,20230328,173500,156.7209,156.94,156.64,156.914,425729,0
AAPL.US,5,20230328,174000,156.9168,157,156.835,156.92,484159,0
AAPL.US,5,20230328,174500,156.93,156.945,156.76,156.78,332892,0
AAPL.US,5,20230328,175000,156.78,157.03,156.7502,156.875,369401,0
AAPL.US,5,20230328,175500,156.8701,156.92,156.78,156.91,187741,0
AAPL.US,5,20230328,180000,156.92,156.95,156.74,156.77,217817,0
AAPL.US,5,20230328,180500,156.77,156.81,156.66,156.69,219360,0
AAPL.US,5,20230328,181000,156.6876,156.73,156.54,156.68,320372,0
AAPL.US,5,20230328,181500,156.68,156.73,156.54,156.652,303504,0
AAPL.US,5,20230328,182000,156.6625,156.84,156.62,156.79,290979,0
AAPL.US,5,20230328,182500,156.7814,156.8501,156.69,156.776,180755,0
AAPL.US,5,20230328,183000,156.78,156.8,156.57,156.775,319222,0
AAPL.US,5,20230328,183500,156.775,156.83,156.66,156.6701,209332,0
AAPL.US,5,20230328,184000,156.6799,156.82,156.59,156.7101,217958,0
AAPL.US,5,20230328,184500,156.72,156.73,156.6019,156.6168,220170,0
AAPL.US,5,20230328,185000,156.61,156.6463,156.47,156.52,270491,0
AAPL.US,5,20230328,185500,156.51,156.555,156.435,156.54,238948,0
AAPL.US,5,20230328,190000,156.56,156.63,156.44,156.45,244469,0
AAPL.US,5,20230328,190500,156.44,156.55,156.38,156.5174,236341,0
AAPL.US,5,20230328,191000,156.52,156.62,156.41,156.4882,252476,0
AAPL.US,5,20230328,191500,156.49,156.59,156.43,156.59,217614,0
AAPL.US,5,20230328,192000,156.58,156.59,156.42,156.43,259612,0
AAPL.US,5,20230328,192500,156.4269,156.535,156.39,156.455,251937,0
AAPL.US,5,20230328,193000,156.45,156.56,156.23,156.24,352923,0
AAPL.US,5,20230328,193500,156.23,156.28,156.13,156.1405,379820,0
AAPL.US,5,20230328,194000,156.1466,156.1654,156.01,156.04,454549,0
AAPL.US,5,20230328,194500,156.035,156.15,155.98,156.095,534335,0
AAPL.US,5,20230328,195000,156.1046,156.197,156.0201,156.1785,304616,0
AAPL.US,5,20230328,195500,156.1757,156.24,156.03,156.085,334388,0
AAPL.US,5,20230328,200000,156.08,156.3099,156.05,156.29,342550,0
AAPL.US,5,20230328,200500,156.2899,156.33,156.2,156.305,227372,0
AAPL.US,5,20230328,201000,156.3099,156.38,156.21,156.32,307146,0
AAPL.US,5,20230328,201500,156.319,156.52,156.31,156.46,388536,0
AAPL.US,5,20230328,202000,156.4699,156.5708,156.45,156.455,369898,0
AAPL.US,5,20230328,202500,156.455,156.55,156.43,156.515,218218,0
AAPL.US,5,20230328,203000,156.52,156.53,156.35,156.3809,264234,0
AAPL.US,5,20230328,203500,156.385,156.52,156.345,156.43,259876,0
AAPL.US,5,20230328,204000,156.43,156.575,156.39,156.545,233552,0
AAPL.US,5,20230328,204500,156.55,156.76,156.55,156.61,360533,0
AAPL.US,5,20230328,205000,156.61,156.68,156.5527,156.6099,203718,0
AAPL.US,5,20230328,205500,156.6188,156.74,156.533,156.735,279028,0
AAPL.US,5,20230328,210000,156.74,156.95,156.74,156.83,405970,0
AAPL.US,5,20230328,210500,156.83,157.045,156.81,157.025,372076,0
AAPL.US,5,20230328,211000,157.03,157.16,156.97,157.1,488758,0
AAPL.US,5,20230328,211500,157.1,157.18,156.95,156.98,408876,0
AAPL.US,5,20230328,212000,156.985,157.148,156.945,157.06,421453,0
AAPL.US,5,20230328,212500,157.07,157.13,156.9,157.01,339084,0
AAPL.US,5,20230328,213000,157.005,157.1,156.795,157.0799,490852,0
AAPL.US,5,20230328,213500,157.07,157.34,157.06,157.3,747776,0
AAPL.US,5,20230328,214000,157.3,157.3969,157.24,157.27,476520,0
AAPL.US,5,20230328,214500,157.26,157.45,157.15,157.435,515114,0
AAPL.US,5,20230328,215000,157.44,157.73,157.44,157.535,1054490,0
AAPL.US,5,20230328,215500,157.53,157.73,157.37,157.65,5272839,0
AAPL.US,5,20230329,153000,159.37,159.99,159.35,159.88,2114520,0
AAPL.US,5,20230329,153500,159.88,160.08,159.8,159.8842,1437202,0
AAPL.US,5,20230329,154000,159.89,160,159.8,159.815,896578,0
AAPL.US,5,20230329,154500,159.82,160.07,159.62,159.7199,979088,0
