<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,5,20230201,190500,142.1,142.26,142.035,142.1701,393898,0
AAPL.US,5,20230201,191000,142.17,142.19,142.02,142.0322,286222,0
AAPL.US,5,20230201,191500,142.0374,142.09,141.915,141.94,323739,0
AAPL.US,5,20230201,192000,141.92,142,141.84,141.91,310634,0
AAPL.US,5,20230201,192500,141.91,142.0499,141.87,142.01,285529,0
AAPL.US,5,20230201,193000,142.02,142.39,142.011,142.38,494478,0
AAPL.US,5,20230201,193500,142.39,142.395,142.18,142.3189,327335,0
AAPL.US,5,20230201,194000,142.32,142.53,142.32,142.37,498626,0
AAPL.US,5,20230201,194500,142.36,142.41,142.14,142.2,333681,0
AAPL.US,5,20230201,195000,142.2087,142.29,142.14,142.2559,334951,0
AAPL.US,5,20230201,195500,142.25,142.71,142.245,142.48,467894,0
AAPL.US,5,20230201,200000,142.4493,142.72,141.52,142.07,917771,0
AAPL.US,5,20230201,200500,142.05,143.08,141.99,142.84,858247,0
AAPL.US,5,20230201,201000,142.82,143.19,142.78,142.9,787421,0
AAPL.US,5,20230201,201500,142.88,142.965,142.21,142.5853,781917,0
AAPL.US,5,20230201,202000,142.58,142.79,142.48,142.5353,396841,0
AAPL.US,5,20230201,202500,142.52,142.62,142.36,142.39,451483,0
AAPL.US,5,20230201,203000,142.39,142.68,141.32,141.92,1252676,0
AAPL.US,5,20230201,203500,141.93,143.64,141.74,143.52,1681229,0
AAPL.US,5,20230201,204000,143.53,144.45,143.47,144.39,1707759,0
AAPL.US,5,20230201,204500,144.4,145.17,144.1047,144.645,1864749,0
AAPL.US,5,20230201,205000,144.655,145.09,144.49,144.54,1323979,0
AAPL.US,5,20230201,205500,144.55,144.82,144.25,144.35,807218,0
AAPL.US,5,20230201,210000,144.36,145.08,144.33,144.88,1122479,0
AAPL.US,5,20230201,210500,144.885,145.6,144.8201,145.54,1276329,0
AAPL.US,5,20230201,211000,145.53,145.6,144.93,145.03,1089915,0
AAPL.US,5,20230201,211500,145.03,145.2,144.45,145.19,1032411,0
AAPL.US,5,20230201,212000,145.189,145.46,144.84,145.11,889950,0
AAPL.US,5,20230201,212500,145.125,145.56,145.0314,145.54,845843,0
AAPL.US,5,20230201,213000,145.53,145.73,145.345,145.7,1064898,0
AAPL.US,5,20230201,213500,145.698,146.42,145.6901,146.38,1656110,0
AAPL.US,5,20230201,214000,146.37,146.61,145.98,146.13,1509633,0
AAPL.US,5,20230201,214500,146.12,146.29,145.6,145.7902,1251473,0
AAPL.US,5,20230201,215000,145.79,145.87,145.35,145.5,2097711,0
AAPL.US,5,20230201,215500,145.51,145.55,145.13,145.43,8913242,0
AAPL.US,5,20230202,153000,148.9,149.47,148.72,149.138,3552212,0
AAPL.US,5,20230202,153500,149.14,149.36,148.93,149.125,1711185,0
AAPL.US,5,20230202,154000,149.12,149.5,149.05,149.07,1594017,0
AAPL.US,5,20230202,154500,149.07,149.51,148.81,149.28,1372181,0
AAPL.US,5,20230202,155000,149.27,149.4,148.81,148.8799,1038131,0
AAPL.US,5,20230202,155500,148.865,148.88,148.35,148.59,978071,0
AAPL.US,5,20230202,160000,148.5888,149.04,148.44,148.8,1096066,0
AAPL.US,5,20230202,160500,148.82,148.97,148.27,148.37,976968,0
AAPL.US,5,20230202,161000,148.36,148.7,148.17,148.62,839725,0
AAPL.US,5,20230202,161500,148.64,148.84,148.3403,148.805,866188,0
AAPL.US,5,20230202,162000,148.805,148.97,148.47,148.73,814597,0
AAPL.US,5,20230202,162500,148.735,149.06,148.68,148.97,665655,0
AAPL.US,5,20230202,163000,148.98,149.6,148.94,149.5701,1211546,0
AAPL.US,5,20230202,163500,149.57,149.6211,149.36,149.51,902808,0
AAPL.US,5,20230202,164000,149.515,150,149.48,149.99,1086180,0
AAPL.US,5,20230202,164500,150,150.31,149.93,150.14,2264983,0
AAPL.US,5,20230202,165000,150.16,150.5,150.07,150.27,973099,0
AAPL.US,5,20230202,165500,150.27,150.35,150.01,150.155,835766,0
AAPL.US,5,20230202,170000,150.1508,150.2,149.8,149.965,1000462,0
AAPL.US,5,20230202,170500,149.97,150.055,149.695,149.81,766540,0
AAPL.US,5,20230202,171000,149.81,149.96,149.67,149.855,583299,0
AAPL.US,5,20230202,171500,149.85,149.9,149.57,149.661,696528,0
AAPL.US,5,20230202,172000,149.6681,150.09,149.6,149.9541,747941,0
AAPL.US,5,20230202,172500,149.96,150.08,149.86,150.034,584598,0
AAPL.US,5,20230202,173000,150.04,150.44,150.0217,150.41,872084,0
AAPL.US,5,20230202,173500,150.405,150.4399,150.185,150.32,666164,0
AAPL.US,5,20230202,174000,150.33,150.37,150.02,150.09,650812,0
AAPL.US,5,20230202,174500,150.095,150.1308,149.89,150.0201,617806,0
AAPL.US,5,20230202,175000,150.03,150.0605,149.825,149.94,552072,0
AAPL.US,5,20230202,175500,149.935,149.98,149.72,149.76,587527,0
AAPL.US,5,20230202,180000,149.77,150.005,149.66,149.725,739528,0
